nombre;direccion;municipio;codigo postal;comarca;lat;lon;categorias
Oficina Municipal d'Escolarització al Vendrell;La Rambla, 24;Vendrell, el;43700;Baix Penedès;41.2207863352;1.5373056887;Educació. Formació,Oficines municipals d'escolarització
Escola Fabra;av. del Bosquet;Alella;8328;Maresme;41.4944730695;2.2978384934;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola La Forja - ZER Alt Lluçanès;c.  Lluçanesa;Alpens;8589;Osona;42.1204853616;2.100108788;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Bertí;antic  camí de Caldes;Ametlla del Vallès, l';8480;Vallès Oriental;41.666436127;2.258149689;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Joan Maragall;c.  Riera Sa Clavella;Arenys de Mar;8350;Maresme;41.582720493;2.545667811;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Sant Martí;c.  Generalitat;Arenys de Munt;8358;Maresme;41.609034583;2.538539952;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Bernat de Riudemeia;c.  Bernat de Riudemeia;Argentona;8310;Maresme;41.5534711505;2.4006994586;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Garona;c.  Pas d'Arro;Vielha e Mijaran;25530;Val d'Aran;42.6991205;0.801756;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Ramon Perelló - ZER Guicivervi;c.  Ramon Perelló;Vilagrassa;25330;Urgell;41.6478004287;1.1067274733;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Esc. de Música de Torrefarrera;av.  Europa;Torrefarrera;25123;Segrià;41.667931018;0.610633157;Educació. Formació,Ensenyaments de règim especial,Música
Escola Torrelameu-ZER Argelaga;c. de la Bassa;Torrelameu;25138;Noguera;41.7062721622;0.7004706887;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Bressol Municipal Raimat;c.  Les Escoles;Lleida;25111;Segrià;41.677959915;0.480631226;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Escola Bressol Municipal Ronda;c.  Mercè;Lleida;25003;Segrià;41.616259596;0.610758565;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Institut La Mitjana;c.  Corregidor Escofet;Lleida;25005;Segrià;41.6268494549;0.6351190967;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Llar d'infants de Linyola;c.  Pons i Arola;Linyola;25240;Pla d'Urgell;41.7071053307;0.9037542287;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Esc. de Música Municipal de Puigverd de Lleida;c.  Lleida;Puigverd de Lleida;25153;Segrià;41.542678845;0.73293953;Educació. Formació,Ensenyaments de règim especial,Música
Escola Bressol La Lluna;av. del Parc;Alpicat;25110;Segrià;41.6615622453;0.5543653443;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants de Ponts;c.  Santa Maria;Ponts;25740;Noguera;41.9174038578;1.1879053881;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Cent.Prof.Mús. L'Intèrpret;c.  Sangenís Bertran;Lleida;25003;Segrià;41.613470702;0.61504944;Educació. Formació,Ensenyaments de règim especial,Música
Llar d'infants La Portella;c.  Escoles;Portella, la;25134;Segrià;41.740667662;0.638291384;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Escola Bressol Pas a Pas;av. de Ponent;Rosselló;25124;Segrià;41.6946410697;0.5933981212;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants El Jardí;pg. dels Rosers;Torà;25750;Segarra;41.8104838505;1.4087272548;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Escola Bressol Municipal;c.  Doctor Durany;Pobla de Segur, la;25500;Pallars Jussà;42.2518366877;0.964766512;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants del Soleràs;ctra.  Bellpuig;Soleràs, el;25163;Garrigues;41.4134634901;0.6833165796;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants de Llardecans;c. del Raval;Llardecans;25186;Segrià;41.3733728911;0.5470896885;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants d'Isona i Conca Dellà;c.  La Posa;Isona i Conca Dellà;25650;Pallars Jussà;42.118189058;1.0472593;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Escola Portitxol;c.  Roca Maura;Torroella de Montgrí;17258;Baix Empordà;42.053421728;3.198240596;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Valldemur - ZER Conca de Barberà;c.  Anton Vidri;Barberà de la Conca;43422;Conca de Barberà;41.4097918999;1.2279529185;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola El Sarraí - ZER Baix Priorat;pg. del Priorat;Bellmunt del Priorat;43738;Priorat;41.1640731247;0.76524207;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola La Muntanyeta;c.  Montserrat;Bellvei;43719;Baix Penedès;41.240553377;1.573933183;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Llorenç Vallespí i Vidiella - ZER Riu i Serra;c.  Hospital;Benifallet;43512;Baix Ebre;40.9718604036;0.5170160229;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,1. Llar d'infants,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Antoni Nat - ZER Benissanet-Miravet;c.  Reus;Benissanet;43747;Ribera d'Ebre;41.0588399113;0.6348804166;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Ull del Vent;av.  Baix Penedès;Bisbal del Penedès, la;43717;Baix Penedès;41.2803898798;1.4898254782;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola de Blancafort - ZER Poblet;c.  Raval del Portell;Blancafort;43411;Conca de Barberà;41.4396608817;1.1591733355;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola L'Estel - ZER Els Ceps;c.  Muralla;Bonastre;43884;Baix Penedès;41.2194599587;1.4398633624;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Rocabruna;camí de la Creueta;Borges del Camp, les;43350;Baix Camp;41.1697659225;1.0211779158;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Sant Blai - ZER Terra Alta-Centre;c.  Caseres;Bot;43785;Terra Alta;41.009090206;0.3816992842;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,1. Llar d'infants,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Mare de Déu de la Candela;ctra. de Montbrió;Botarell;43772;Baix Camp;41.1358901062;0.9911283742;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Escola Sant Jaume de Bràfim - ZER Atzavara;av.  Verge del Loreto;Bràfim;43812;Alt Camp;41.268921547;1.342653894;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
